Company Name,Description,Day,Internship Recruitment Periods,Engineering Fields
BBA,"BBA offre depuis plus de 40 ans une vaste gamme de services de génie-conseil. Expert·e·s en stratégie d’affaires, en ingénierie, en environnement et en mise en service font équipe pour cibler rapidement et avec précision les besoins des clients industriels et institutionnels. Reconnue pour ses solutions novatrices, durables et fiables, la firme se distingue par son savoir-faire dans l’industrie de l’Énergie et des ressources naturelles. BBA compte plus de 20 bureaux répartis d’un bout à l’autre du Canada et à l’international (Chili et États-Unis) afin d’offrir à ses clients un soutien local et une présence accrue sur le terrain.",23 Janvier 2025,"['A25', 'H25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Industriel', 'Informatique', 'Géologique', 'Logiciel', 'Mécanique', 'Mines']"
Safran Landing Systems,"Safran est un groupe international de haute technologie, équipementier de premier rang dans les domaines de l'Aéronautique et de l'Espace (propulsion, équipements), de la Défense et de la Sécurité. Implanté sur tous les continents, le Groupe emploie 70 000 personnes. Safran Landing Systems est le leader mondial des fonctions d’atterrissage et de freinage pour aéronefs. Partenaire de 30 avionneurs dans les domaines du transport civil, régional, d’affaires et militaire, la société assure le support de 25 000 avions effectuant plus de 40 000 atterrissages par jour.L’usine de Mirabel fabrique les composantes majeures des trains d’atterrissage pour les modèles Airbus A320, A330, A340, A350 et A380 et le Boeing 787.  On y retrouve des équipements à la fine pointe de la technologie pour l’usinage, le polissage et les procédés spéciaux, dont le traitement thermique, le grenaillage, et les traitements de surface. Notre établissement ultramoderne est reconnu pour son environnement convivial, sécuritaire et axé sur de hauts standards de qualité.",22 Janvier 2025,['E25'],"['Industriel', 'Logiciel', 'Mécanique']"
Kiewit,"Kiewit is one of North America’s largest and most respected construction and engineering organizations. With its roots dating back to 1884, the employee-owned organization operates through a network of subsidiaries in the United States, Canada, and Mexico. Kiewit offers construction and engineering services in a variety of markets including transportation; oil, gas and chemical; power; building; water/wastewater; industrial; and mining. Kiewit had 2022 revenues of $13.7 billion and employs 25,700 staff and craft employees. Kiewit is ranked #3 in ENR’s list of Top 400 Contractors.",22 Janvier 2025,"['A25', 'H25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Industriel', 'Géologique', 'Mécanique', 'Mines']"
Artelia,"Chez Artelia, nous croyons que chaque projet est une opportunité unique de créer des solutions pour une vie positive. De la conception de projets responsables à la mise en œuvre de solutions technologiques de pointe, notre approche repose sur la conviction que chaque défi peut être surmonté grâce à l’ingéniosité et l’engagement individuel et collectif. Au Canada, Artelia intervient dans six grands domaines : Mobilité, Bâtiment, Énergie, Environnement et Sciences de la Terre, Industrie et Eau. Nos 1 100 experts, répartis dans 18 bureaux à travers le pays, s'engagent chaque jour à répondre à des enjeux complexes, allant de la transition énergétique à la gestion des ressources en eau, en passant par la modernisation des infrastructures et la décarbonation des industries.Notre appartenance au Groupe Artelia, qui possède plus de 100 ans d’histoire, compte 8 900 employés et est présent dans 40 pays, nous permet de combiner notre expertise locale avec la force d’un réseau mondial pour offrir des solutions complètes et adaptées aux demandes les plus complexes de nos clients. Nous sommes un groupe d'ingénierie, détenu à 100% par nos gestionnaires et nos collaborateurs, et unis par une même passion, celle d’exercer un métier qui allie l’art de concevoir avec ingéniosité et de réaliser avec engagement.Portés par des valeurs d’excellence technique, de proximité avec les clients et d’esprit entrepreneurial, nous avons la volonté d’être plus que jamais une entreprise utile au monde et à l’humain, qui contribue à travers nos activités à avoir un impact positif sur l’environnement et la société.",22 Janvier 2025,"['A25', 'H25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Géologique', 'Mécanique', 'Mines']"
Société ferroviaire et portuaire de Pointe-Noire,"Nous sommes un carrefour logistique ferroviaire et portuaire de premier plan qui offre des services de transport ferroviaire et de manutention de minerai à des entreprises de l’industrie des ressources naturelles actives sur la Côte-Nord et à Terre-Neuve-et-Labrador.Avec notre expertise, le savoir-faire de notre équipe ainsi que nos infrastructures et équipements de haute qualité, nous contribuons à l’atteinte des objectifs de performance de nos clients tout en nous démarquant par notre approche en environnement et en santé-sécurité au travail.",22 Janvier 2025,"['A25', 'E25']","['Civil', 'Électrique', 'Industriel', 'Mécanique', 'Mines', 'Automatisation Industrielle']"
Wesdome - Complexe minier Kiena,"La mine Kiena est située dans le camp aurifère très prometteur de Val-d'Or, au Québec. La zone Kiena Deep A, découverte en 2016, est située dans l'infrastructure existante de la mine, y compris un puits de 930 mètres de profondeur et une usine de 2 000 tonnes par jour, et est entièrement autorisée. Après l'achèvement réussi d'une étude de préfaisabilité, un redémarrage des opérations a été annoncé le 26 mai 2021.",22 Janvier 2025,"['A25', 'E25']","['Chimique', 'Électrique', 'Géologique', 'Mécanique', 'Mines']"
Intelcom-Dragonfly,"Intelcom est une entreprise de logistique du dernier kilomètre qui facilite la livraison de plus de 600 000 colis par jour à travers le Canada. Chef de file grâce à sa plateforme technologique générant quotidiennement plus de 3 000 routes optimisées pour plus de 425 entrepreneurs indépendants de livraison, Intelcom permet à ses clients d’offrir aux consommateurs une expérience de livraison rapide, fiable et prévisible lors de leurs achats en ligne. 	Notre objectif est simple : dans un secteur d’activité en constante évolution, nous ne nous contentons pas de suivre, nous prenons les devants. En plus de nous démarquer grâce à des méthodes de livraison et à des services novateurs, Intelcom opère aussi une transformation technologique où l’intégration de l’expérience client et les technologies logistiques sont au cœur de son évolution. 	Chez Intelcom, nous savons que l'expérience se présente sous plusieurs formes et nous nous engageons à créer une culture où la différence est valorisée. Nous sommes toujours à la recherche de personnes talentueuses et diversifiées pour rejoindre nos équipes.",22 Janvier 2025,['E25'],"['Informatique', 'Logiciel', 'Mathématiques Appliqués']"
Équipe Laurence,"Équipe Laurence est une firme spécialisée en génie civil composé d'une équipe jeune, dynamique, à l'avant-garde des technologies et appuyée par des gens d'expérience qui ont œuvré en collaboration avec plus de 50 villes et d'innombrables partenaires privés. Fondée en 1983 à Piedmont dans les Laurentides et actuellement en pleine expansion, Équipe Laurence compte maintenant 6 bureaux et plus de 160 employés.Nos projets touchent principalement la conception de rues, de stationnements, de réseau d'égout et d'aqueduc ainsi que la réalisation d'études hydrauliques et d'études de sécurité de barrage. Nous désirons nous démarquer et impliquer nos employés dans l'ensemble du processus du travail. De plus, nous avons plusieurs beaux mandats qui permettront aux étudiants de pouvoir apprendre tout en voyant différents aspects du génie civil.",22 Janvier 2025,"['A25', 'H25', 'E25']","['Chimique', 'Civil', 'Mécanique']"
INGENIA TECHNOLOGIES INC.,"INGÉNIA TECHNOLOGIES INC. une division de SPX Technologies est un chef de file nord-américain dans la conception et la fabrication de systèmes de traitement d'air sur mesure et d'autres produits de chauffage, de climatisation et de ventilation. Grâce à ses conceptions novatrices et à ses procédés de fabrication à la fine pointe de la technologie. Ingénia conçoit et fabrique, dans ses installations de Mirabel, des produits de première qualité qui répondent aux besoins très spécifiques de chacun de ses clients.",22 Janvier 2025,"['A25', 'E25']","['Électrique', 'Mécanique', 'Mécanique du bâtiment']"
Metaltech-Omega,"Nous sommes une société canadienne privée qui chapeaute 2 marques distinctes, mais unies par les mêmes composantes : les produits d’acier et la conception de nouveaux produits supérieurs.Chez Metaltech nous développons, fabriquons et vendons une large gamme de produits tels que des échafaudages, des clôtures de chantier et des échelles télescopiques. Vous nous trouverez dans les quincailleries, le réseau industriel et les centres de location.Chez Omega II, nous fabriquons des clôtures avec un produit unique sur le marché, des clôtures en treillis soudés. Nous sommes aussi le pionnier des systèmes de clôtures ornementales de fil soudé et le pionnier des projets sur mesure en Amérique du Nord.",22 Janvier 2025,"['A25', 'E25']","['Industriel', 'Mécanique', 'Mécanique du bâtiment']"
EMS Ingénierie,"Fondée à Québec en mai 2006, EMS Ingénierie est une firme d’ingénierie spécialisée en structure, génie civil, génie maritime, génie industriel et traitement des eaux. Au fil des ans et de ses réalisations, EMS a pris de l’expansion et a une magnifique croissance : de deux employés à ses débuts en 2006, elle est maintenant à près de 100 employés, dont près de 50 ingénieurs. Les équipes d’EMS sont actuellement regroupées sous trois divisions, EMS Structure, EMS Infrastructure et Investigation EMS. Ainsi, pour la dernière année seulement, EMS a réalisé l’ingénierie pour plus de 750 millions de dollars en travaux dans ses champs de compétences. Les ingénieurs d’EMS ont ainsi développé, au fil des années, une grande expérience dans la réalisation de projets d’envergure en développant des systèmes économiques, novateurs, versatiles et parfaitement adaptés aux particularités du projet et aux contraintes et exigences du client. Le développement durable, le système LEED, l’environnement, le maintien des opérations et l’utilisation des nouvelles technologies, dont BIM, font partie des façons de faire courantes d’EMS.",22 Janvier 2025,"['A25', 'H25', 'E25']","['Civil', 'Électrique', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment']"
Groupe LAR,"De la Conception à la réalisation et à l'installation des projets en chantier, LAR a acquis ses compétences et son assurance au fil d'une histoire industrielle prolifique qui se déroule maintenant d'un océan à l'autre, avec son siège social établie à Métabetchouan, au Saguenay-Lac-St-Jean.Aujourd'hui, Le Groupe LAR et ses filiales forment une organisation industrielle dynamique en constante évolution, afin de rencontrer les exigences de plus en plus grandes de nos clients. Chef de fil de classe mondial, nous œuvrons dans des marchés industriels lourds aussi diversifiés que les alumineries, la production hydro-électrique et les mines.",22 Janvier 2025,['E25'],"['Électrique', 'Industriel', 'Mécanique', 'Métallurgique']"
Groupe Canam,"Canam, un employeur qui donne envie de resterDepuis 1960, Canam se veut un employeur avec une culture forte, rassembleuse et familiale, ralliant près de 3 500 employé.e.s. Établie au Canada, aux États-Unis, en Roumanie, en Inde et aux Philippines, notre entreprise ne cesse de croître grâce à l’innovation et au savoir-faire de chacun.e. D’ailleurs, pour bâtir des structures connues et reconnues pour leur qualité à travers l’Amérique du Nord, tu dois sentir que tu as tout ce qu’il faut pour réussir ces projets d’envergure. Fiers de nos réalisations, nous sommes là pour rester, et c’est avec toi que nous voulons le faire.",22 Janvier 2025,"['A25', 'H25', 'E25']","['Civil', 'Industriel', 'Informatique', 'Logiciel', 'Mécanique', 'DesignFabrication']"
gbi experts-conseils,"Depuis  1963, gbi  offre des services professionnels de conseil en ingénierie dans divers  secteurs pour  des clients publics et privés.  L’expertise de  l’équipe de spécialistes de gb i  permet  à ses clients de compter sur des infrastructures fiables et durables. Notre objectif principal est d’optimiser vos projets dans une optique de réduction des coûts d’exploitation et d’économie d’énergie. Notre firme a participé activement au développement des villes et des municipalités du Québec en concevant  des infrastructures robustes et performantes. La  grande  variété des mandats que nous avons réalisés nous a permis de  bâtir  une expertise multidisciplinaire centralisée , afin d'assurer le succès  des  projets . Prioriser  la qualité du service , c'est  assurer  la réussite de vos projets.",21 Janvier 2025,['E25'],"['Chimique', 'Civil', 'Électrique', 'Industriel', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment']"
Englobe,"Englobe est l'une des principales entreprises canadiennes spécialisées en ingénierie et en sciences de l'environnement. Avec des bureaux situés partout au Canada, nous sommes idéalement situés pour soutenir des projets de petite et de grande envergure, à différentes étapes, dans de nombreux secteurs.",21 Janvier 2025,['E25'],"['Civil', 'Électrique', 'Géologique', 'Mécanique', 'Mines', 'Mineral']"
Solutions Techso,"Chef de file mondial en transformation numérique, Techso est une société en pleine croissance proposant des services-conseil dans trois créneaux d’expertise : la gestion de l’infrastructure technologique (TI), le développement spécifique d’application (DEV) et la gestion de cycle de vie du produit (PLM).Fondée en 2014, Techso s’est forgée une réputation pour la qualité de ses projets livrés à de prestigieux clients et ce, dans différents secteurs tels que l’automobile, l’aéronautique, l’évènementiel, l’horlogerie, les finances, et bien d’autres.Nous sommes à la recherche de talents collaboratifs et curieux afin de rejoindre nos équipes et accompagner nos clients dans leur transformation numérique!",21 Janvier 2025,['E25'],"['Aérospatial', 'Informatique', 'Logiciel', 'Mécanique']"
Bell Textron Canada Ltée,"Nous sommes une entreprise d’aérospatiale et de défense qui conçoit et fabrique des avions pour des solutions critiques dans des scénarios extrêmes. Nous faisons tomber les barrières en assurant la sécurité des personnes dans les transports, les services médicaux, les services de sauvetage et les services militaires, et nous sommes à la pointe de l'industrie en proposant des solutions modernes qui sont rapides, fiables et efficaces.",21 Janvier 2025,"['A25', 'E25']","['Aérospatial', 'Électrique', 'Industriel', 'Mécanique']"
Association des travaux publics du Québec,"Pilier dans le domaine des travaux publics au Québec durant plus de 50 ans, c’est en 2022 que le Chapitre du Québec de l’Association des travaux publics d’Amérique (ATPA) transfère ses activités à l’Association des travaux publics du Québec. Avec des centaines de membres issus principalement de villes, municipalités et organisations publiques, nous continuons à faire progresser l'excellence dans les travaux publics et à innover.",21 Janvier 2025,"['H25', 'E25']","['Civil', 'Mécanique']"
Techsol Marine,"En tant que chef de file dans l’intégration de systèmes électriques et électroniques pour le secteur maritime, Techsol Marine développe des solutions d’ingénierie sécuritaires, fiables et innovantes. Elle offre à ses clients efficacité et agilité, grâce à l’apport essentiel de sa ressource la plus importante : ses employés.Nos experts travaillent d’arrache-pied pour vous offrir des solutions sur mesure afin de répondre aux normes énergétiques et environnementales les plus élevées. Notre équipe multidisciplinaire de près de 100 employés est à l’écoute de vos besoins afin de vous offrir un service personnalisé qui vous permet de sécuriser vos écosystèmes tout en facilitant la gestion des opérations.Que vous construisiez un nouveau navire ou que vous amélioriez un navire existant, Techsol Marine est votre partenaire industriel le plus fiable. Nos solutions s’appuient sur l’expertise et l’esprit collaboratif de nos équipes d’ingénieurs, de concepteurs, de chefs de projet, de planificateurs, de contremaîtres et de techniciens expérimentés. Notre longue expérience comprend un nombre impressionnant de solutions personnalisées.",21 Janvier 2025,['E25'],"['Aérospatial', 'Électrique', 'Informatique', 'Mécanique', 'Électricité de bâtiment']"
Joliette Hydraulique Inc.,"Joliette Hydraulique Inc. est une entreprise au service de l’industrie depuis plus de 40 ans. Avec une équipe qui compte plus de 25 passionnés, nous sommes fiers de vous offrir des délais optimaux puisque tout est produit à la même adresse. L’éventail de nos services permet aux experts JHI de prendre en charge vos équipements, et ce, du début à la fin de leur cycle de vie. Doté d’équipements performants, notre atelier de plus de 20 000 pi² nous permet de surpasser vos attentes. Toujours dans le but d’offrir une solution clé en main, notre clientèle n’a pas à se soucier des déplacements : nos commissionnaires s’occupent des cueillettes et des livraisons.",21 Janvier 2025,"['A25', 'H25', 'E25']","['Mécanique', 'DesignFabrication']"
Marmen,"Leader manufacturier reconnu pour ses services d'usinage, de fabrication, d'assemblage mécanique, de conception et d'ingénierie, Marmen est aussi l'un des plus importants fabricants de tours d'éoliennes en Amérique du Nord. Avec des usines au Canada et aux États-Unis, l’entreprise dessert plusieurs marchés tels que : l’hydroélectricité, l’énergie éolienne, l’énergie nucléaire, la fusion, le spatial, l’aviation, la défense, le militaire, les turbines à gaz et à vapeur, le pétrole et le gaz, les aciéries et l’industrie minière.",21 Janvier 2025,"['A25', 'E25']","['Électrique', 'Industriel', 'Mécanique']"
ArcelorMittal Exploitation Minière CAN,"ArcelorMittal est un chef de file de l’acier et l’un des cinq plus grands producteurs de minerai de fer à l’échelle internationale. Avec plus de 2 500 employés à Fermont, à Port-Cartier et à Longueuil, ArcelorMittal Mines et Infrastructure Canada est le plus grand employeur de la Côte-Nord. Nos opérations sont réparties entre deux entités complémentaires, soit ArcelorMittal Exploitation minière Canada s.e.n.c. (AMEM) et ArcelorMittal Infrastructure Canada s.e.n.c. (AMIC).",21 Janvier 2025,"['A25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Industriel', 'Géologique', 'Logiciel', 'Mécanique', 'Mines']"
Eldorado Gold Québec,"Eldorado Gold Québec est une société minière axée sur l'expansion et le développement de la mine Lamaque, entrée en production commerciale en 2019. L'entreprise se distingue par son audace et son engagement auprès de la communauté et de l'environnement. L'organisation se consacre aux opérations responsables, aux normes de sécurité et d'environnement les plus élevées et à l'amélioration des collectivités de la région de l'Abitibi-Témiscamingue.",21 Janvier 2025,"['A25', 'E25']","['Chimique', 'Géologique', 'Mécanique', 'Mines', 'Métallurgique']"
Tisseur,"Tisseur est une entreprise de construction bien établie au Québec qui oeuvre à titre d’entrepreneur en bâtiment et en génie civil. Elle compte plus de 350 travailleurs, et est composée de nombreux professionnels et employés dédiés à l’exécution et à la conception de projets spéciaux. L’entreprise dispose également d’un important parc d’équipement. Le tout lui permet d’intégrer et de réaliser de nombreux travaux à l’interne, lui procurant ainsi un avantage concurrentiel indéniable, ainsi que d’assurer le contrôle de l’échéancier.",21 Janvier 2025,"['A25', 'H25', 'E25']","['Civil', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment']"
Shellex Groupe Conseil,"Shellex Groupe Conseil Inc. est une firme qui offre des services complets d’ingénierie. Bien que le siège social soit situé à Salaberry-de-Valleyfield, elle accompagne ses clients dans tous leurs projets à travers le Canada. L'entreprise compte maintenant six bureaux situés à Salaberry-deValleyfield, Beloeil, Terrebonne, Sherbrooke, Québec et Toronto. La nature des projets peut nécessiter autant des services de génie chimique ou mécanique que des services conventionnels de génie du bâtiment et génie civil.",21 Janvier 2025,"['H25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Mécanique']"
Gold Fields,"Gold Fields Limited est désormais l'unique propriétaire du projet aurifère Windfall, situé dans la ceinture de roches vertes de l’Abitibi, dans le canton d’Urban, Eeyou Istchee Baie-James au Québec.",21 Janvier 2025,"['A25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Informatique', 'Géologique', 'Mécanique', 'Mines', 'Mineral', 'Métallurgique']"
Dumont Nickel,"Le projet Dumont Nickel est l’un des plus grands gisements de sulfures de nickel non développé, prêt à démarrer et ayant reçu ses principales autorisations environnementales.Le projet Dumont Nickel est un projet à grande échelle situé à 25 km à l’ouest de la ville d’Amos dans la région minière bien établi de l’Abitibi au Québec. La réserve minière est établie à plus de 1 milliard de tonnes avec une teneur de 0.27% de nickel et 107 ppm de cobalt.Une fois en exploitation, cette réserve assurera une production annuelle moyenne de 39 kt de nickel pour une durée de vie de plus de 30 ans, créant environ 500 emplois qualifiés et bien rémunérés. Cette production pourra fournir assez de nickel pour construire environ 780 000 véhicules électriques par années.Le Projet Dumont Nickel a le potentiel d’être la clé de l’approvisionnement en nickel pour la filière batterie québécoise.",20 janvier 2025,"['A25', 'H25', 'E25']","['Civil', 'Informatique', 'Géologique', 'Mécanique', 'Mines', 'Mineral', 'Métallurgique', 'Cybersécurité', 'Automatisation Industrielle', 'Électricité de bâtiment']"
L'Oréal Canada,"Depuis plus de 65 ans, nous exerçons ce métier unique : créateur de beauté.Notre but est d’offrir le meilleur de la beauté en termes de qualité, d’efficacité, de sécurité, de sincérité et de responsabilité pour satisfaire tous les besoins et les désirs de beauté dans leur infinie diversité.C’est pourquoi nous inventons la beauté du futur par la technologie et la science, en innovant en permanence avec une Beauty Tech à impact positif. Nous repoussons ainsi les limites de l'innovation dans l'industrie de la beauté, en ouvrant la voie à la création de solutions de beauté hautement personnalisées et inclusives.Nous avons construit le portefeuille le plus riche de 40 marques diverses et complémentaires organisées autour de 4 divisions. Nous offrons un large choix de produits sur une large gamme de prix et dans toutes les catégories : soins de la peau, protection solaire, maquillage, soins et colorations capillaires, parfums et autres produits, y compris d'hygiène. Nous réinventons nos marques en permanence afin d’être toujours parfaitement à l'écoute des préférences des consommateurs.L'Oréal Canada emploie plus de 1 640 personnes dans de nombreux rôles et fonctions, notamment les ventes, le marketing, le e-commerce, les systèmes d’information, les opérations, la recherche et l’innovation ainsi qu’un ensemble de fonctions corporatives dans les domaines de l’administration & la finance, les ressources humaines, la diversité & l’inclusion et l’engagement, etc.",20 janvier 2025,"['A25', 'E25']","['Chimique', 'Industriel', 'Mécanique']"
Pageau Morel et associés,"Œuvrant dans le domaine de l’ingénierie du bâtiment depuis 1956, Pageau Morel se spécialise dans la mécanique du bâtiment, l’électricité du bâtiment, l’écoconception et le développement durable. C’est à partir de nos trois bureaux, Québec, Montréal et Gatineau que nous effectuons la conception, la surveillance et la mise en service de projets autant au privé qu’au public. Notre expertise s’étend des bâtiments publics aux laboratoires de recherche en passant par les centres de soins de santé.Nos forces résident dans notre équipe et dans la promotion des valeurs de Pageau Morel, soit l’authenticité, la continuité, la créativité et la collaboration. Nous nous assurons d'offrir un environnement sain et agréable avec des défis stimulants et des projets axés sur l'innovation.",20 janvier 2025,['E25'],"['Électrique', 'Mécanique', 'Électricité de bâtiment', 'Mécanique du bâtiment']"
Hatch,"Nous adoptons votre vision et nous travaillons avec vous pour mettre au point des idées plus ingénieuses, efficaces et novatrices. Notre réseau mondial de 10 000 professionnels relève certains des défis les plus complexes au monde et a réalisé des projets dans plus de 150 pays du monde dans les domaines des métaux, de l’énergie et des infrastructures.",20 janvier 2025,"['A25', 'E25']","['Chimique', 'Civil', 'Électrique', 'Industriel', 'Mécanique', 'Mines', 'Génie énergétique et nucléaire', 'Mineral', 'Métallurgique', 'Mathématiques Appliqués', 'Automatisation Industrielle']"
Groupe ABS inc.,"Groupe ABS est motivé par l’innovation et déterminé à assurer la pérennité des ouvrages construits. Nous sommes engagés à offrir à nos partenaires une expérience privilégiée, des services intégrés en ingénierie et à préserver les intérêts des générations futures.",20 janvier 2025,['E25'],"['Civil', 'Géologique', 'Physique']"
Sel Windsor Ltée,Opération de Mines de Sel,20 janvier 2025,"['A25', 'H25', 'E25']","['Électrique', 'Géologique', 'Mécanique', 'Mines']"
